nom_realisateur,averageRating,photo_url
Fernando Meirelles,8.6,https://upload.wikimedia.org/wikipedia/commons/8/8a/Fernando_Meirelles.jpg
James Cameron,8.6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/James_Cameron_by_Gage_Skidmore.jpg/800px-James_Cameron_by_Gage_Skidmore.jpg
Giuseppe Tornatore,8.5,https://upload.wikimedia.org/wikipedia/commons/4/4a/Giuseppe_Tornatore.jpg
Nadine Labaki,8.4,https://upload.wikimedia.org/wikipedia/commons/b/b9/Nadine_Labaki_Cannes_2019.jpg
Milos Forman,8.4,hhttps://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Milos_Forman.jpg/800px-Milos_Forman.jpg
Florian Henckel von Donnersmarck,8.4,https://upload.wikimedia.org/wikipedia/commons/6/6f/Florian_Henckel_von_Donnersmarck.jpg
Quentin Tarantino,8.4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Quentin_Tarantino_by_Gage_Skidmore.jpg/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg
Florian Zeller,8.2,https://upload.wikimedia.org/wikipedia/commons/e/e0/Florian_Zeller_2021.jpg
Costa-Gavras,8.2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Costa-Gavras_-_Vence.JPG/800px-Costa-Gavras_-_Vence.JPGg
Martin Scorsese,8.2,https://upload.wikimedia.org/wikipedia/commons/1/1c/Martin_Scorsese_Berlinale_2010_%28cropped2%29.jpg
Akira Kurosawa,8.2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Akirakurosawa-onthesetof7samurai-1953-page88.jpg/800px-Akirakurosawa-onthesetof7samurai-1953-page88.jpg
Ingmar Bergman,8.1,https://upload.wikimedia.org/wikipedia/commons/a/a6/Ingmar_Bergman_1957.jpg
Céline Sciamma,8.1,https://upload.wikimedia.org/wikipedia/commons/5/53/C%C3%A9line_Sciamma_%282022%29.jpg
Jasmila Zbanic,8.0,https://upload.wikimedia.org/wikipedia/commons/8/8e/Jzbanic.JPG
Jean-Pierre Melville,8.0,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/77/50/18/19409352.jpg
Mike Leigh,8.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Mike_Leigh.jpg/1024px-Mike_Leigh.jpg
Louis Malle,8.0,https://upload.wikimedia.org/wikipedia/commons/f/fb/Identite-LouisMalle-1958-Sacem.png
Sian Heder,8.0,https://upload.wikimedia.org/wikipedia/commons/8/83/Sian_Heder_during_an_interview%2C_March_2022.jpg
Ari Folman,8.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ari_Folman_at_Karlovy_Vary_International_Film_Festival%2C_Czech_Republic_--_12_July_2008.jpg/800px-Ari_Folman_at_Karlovy_Vary_International_Film_Festival%2C_Czech_Republic_--_12_July_2008.jpg
Vincent Paronnaud,8.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Winshluss_-_Lucca_Comics_%26_Games_2015.JPG/800px-Winshluss_-_Lucca_Comics_%26_Games_2015.JPG
Tomm Moore,8.0,https://upload.wikimedia.org/wikipedia/commons/b/b0/Tomm_Moore_2022.jpg
Wim Wenders,8.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/MJK30764_Wim_Wenders_%28Berlinale_2017%29_2.jpg/800px-MJK30764_Wim_Wenders_%28Berlinale_2017%29_2.jpg
Jean-Pierre Jeunet,7.95,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Jean-Pierre_Jeunet_M%C3%BCnchen_2014_%28cropped%29.JPG/800px-Jean-Pierre_Jeunet_M%C3%BCnchen_2014_%28cropped%29.JPG
Federico Fellini,7.9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Federico_Fellini_NYWTS_2.jpg/1024px-Federico_Fellini_NYWTS_2.jpg
Danis Tanovic,7.9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Danis_Tanovi%C4%87_%28cropped%29.jpg/800px-Danis_Tanovi%C4%87_%28cropped%29.jpg
Darren Aronofsky,7.9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/OIFF_2015-07-17_193547_-_Darren_Aronofsky.jpg/800px-OIFF_2015-07-17_193547_-_Darren_Aronofsky.jpg
Edgar Wright,7.85,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Edgar_Wright_by_Gage_Skidmore.jpg/800px-Edgar_Wright_by_Gage_Skidmore.jpg
Walter Salles,7.85,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Walter_Salles_at_TIFF_2012.jpg/800px-Walter_Salles_at_TIFF_2012.jpg
Paul King,7.8,https://fr.web.img6.acsta.net/pictures/17/10/03/10/47/3654627.jpg
Luis Buñuel,7.8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LuisBu%C3%B1uel1929.jpg/800px-LuisBu%C3%B1uel1929.jpg
Luca Guadagnino,7.8,https://upload.wikimedia.org/wikipedia/commons/d/d6/Luca_Guadagnino_at_Berlinale_2017_%28cropped_2%29.jpg
